Attempt 221, 1000 iterations, Validation accuracy = 0.44
Attempt 222, 1000 iterations, Validation accuracy = 0.39
Attempt 223, 1000 iterations, Validation accuracy = 0.4
Attempt 224, 1000 iterations, Validation accuracy = 0.4
Attempt 225, 1000 iterations, Validation accuracy = 0.47
Attempt 226, 1000 iterations, Validation accuracy = 0.42
Attempt 227, 1000 iterations, Validation accuracy = 0.39
Attempt 228, 1000 iterations, Validation accuracy = 0.43
Attempt 229, 1000 iterations, Validation accuracy = 0.45
Attempt 230, 1000 iterations, Validation accuracy = 0.38
Attempt 231, 1000 iterations, Validation accuracy = 0.43
Attempt 232, 1000 iterations, Validation accuracy = 0.44
Attempt 233, 1000 iterations, Validation accuracy = 0.45
Attempt 234, 1000 iterations, Validation accuracy = 0.43
Attempt 235, 1000 iterations, Validation accuracy = 0.44
Attempt 236, 1000 iterations, Validation accuracy = 0.45
Attempt 237, 1000 iterations, Validation accuracy = 0.36
Attempt 238, 1000 iterations, Validation accuracy = 0.43
Attempt 239, 1000 iterations, Validation accuracy = 0.43
Attempt 240, 1000 iterations, Validation accuracy = 0.4
Attempt 241, 1000 iterations, Validation accuracy = 0.36
Attempt 242, 1000 iterations, Validation accuracy = 0.46
Attempt 243, 1000 iterations, Validation accuracy = 0.37
Attempt 244, 1000 iterations, Validation accuracy = 0.37
Attempt 245, 1000 iterations, Validation accuracy = 0.44
Attempt 246, 1000 iterations, Validation accuracy = 0.35
Attempt 247, 1000 iterations, Validation accuracy = 0.28
Attempt 248, 1000 iterations, Validation accuracy = 0.39
Attempt 249, 1000 iterations, Validation accuracy = 0.44
Attempt 250, 1000 iterations, Validation accuracy = 0.31
Attempt 251, 1000 iterations, Validation accuracy = 0.44
Attempt 252, 1000 iterations, Validation accuracy = 0.42
Attempt 253, 1000 iterations, Validation accuracy = 0.42
Attempt 254, 1000 iterations, Validation accuracy = 0.35
Attempt 255, 1000 iterations, Validation accuracy = 0.42
Attempt 256, 1000 iterations, Validation accuracy = 0.38
Attempt 257, 1000 iterations, Validation accuracy = 0.44
Attempt 258, 1000 iterations, Validation accuracy = 0.41
Attempt 259, 1000 iterations, Validation accuracy = 0.42
Attempt 260, 1000 iterations, Validation accuracy = 0.42
Attempt 261, 1000 iterations, Validation accuracy = 0.38
